Year,Month,NO2_trop_mean,N_days,SEM,Fecha_datetime
2018,7,0.00025994062626109816,24.0,2.29426914146601e-05,2018-07-01
2018,8,0.00022000010395452748,16.0,1.801941805757784e-05,2018-08-01
2018,9,0.00012053952216996367,20.0,1.0294913694289314e-05,2018-09-01
2018,10,0.00016514190768768743,6.0,2.349433689657229e-05,2018-10-01
2018,11,0.00011829600444107946,7.0,1.3320686987656074e-05,2018-11-01
2018,12,8.195923829736554e-05,19.0,5.8706043578000554e-06,2018-12-01
2019,1,8.100391575329326e-05,24.0,5.13977949205944e-06,2019-01-01
2019,2,8.205482426273434e-05,15.0,5.689656024439693e-06,2019-02-01
2019,3,7.878712078354952e-05,21.0,5.954251213463187e-06,2019-03-01
2019,4,0.00011495291864894503,18.0,9.604881461762373e-06,2019-04-01
2019,5,0.0001539080918956107,16.0,1.9570337820076882e-05,2019-05-01
2019,6,0.00015343228069735154,23.0,1.1890524777783648e-05,2019-06-01
2019,7,0.00018825890915478288,24.0,1.2727570416791204e-05,2019-07-01
2019,8,0.00015347825512629102,22.0,1.0455900051440126e-05,2019-08-01
2019,9,0.0001300348399883729,14.0,8.90292307606597e-06,2019-09-01
2019,10,0.0001118251625996879,22.0,6.441534222954179e-06,2019-10-01
2019,11,8.566257111003922e-05,12.0,7.269144944016704e-06,2019-11-01
2019,12,5.191051200877403e-05,15.0,2.6929579332335343e-06,2019-12-01
2020,1,6.763020085550852e-05,16.0,4.107142592183304e-06,2020-01-01
2020,2,7.762293762606365e-05,11.0,4.692121097926232e-06,2020-02-01
2020,3,7.086978092943946e-05,24.0,4.182251582749031e-06,2020-03-01
2020,4,6.982150296436233e-05,21.0,5.149078999632341e-06,2020-04-01
2020,5,0.00010195929903781738,22.0,7.357943497821757e-06,2020-05-01
2020,6,0.00011085339807557344,18.0,8.360542789061154e-06,2020-06-01
2020,7,0.00015131541498978888,27.0,1.0324747206019294e-05,2020-07-01
2020,8,0.00015073148153848878,23.0,9.481415594312897e-06,2020-08-01
2020,9,0.0001174064665616216,22.0,6.909846817990497e-06,2020-09-01
2020,10,9.949849934710089e-05,19.0,5.286187668466748e-06,2020-10-01
2020,11,7.045872004771493e-05,18.0,4.803027025429678e-06,2020-11-01
