Fecha_datetime,Year,Month,Day,DOW,NO2_trop_mean,NO2_trop_std
2018-07-01,2018,7,1,6,8.681105897449536e-05,3.6702264608129945e-05
2018-07-02,2018,7,2,0,0.0001991432310819,8.91013078538471e-05
2018-07-04,2018,7,4,2,0.0001175720732974,3.4042735669002086e-05
2018-07-05,2018,7,5,3,0.0001392121175345,6.781791764603233e-05
2018-07-06,2018,7,6,4,0.0001640691823632,9.546336623091684e-05
2018-07-07,2018,7,7,5,0.0001412261689782,4.410467336459461e-05
2018-07-08,2018,7,8,6,6.853955751528387e-05,3.501839337624922e-05
2018-07-09,2018,7,9,0,7.99967289584035e-05,2.7942647012650963e-05
2018-07-11,2018,7,11,2,0.0001666635842527,9.949855241720522e-05
2018-07-12,2018,7,12,3,0.000133575596283,6.806557033872994e-05
2018-07-13,2018,7,13,4,0.0001536501675382,7.39418245135091e-05
2018-07-14,2018,7,14,5,9.759562398468184e-05,4.456436341350334e-05
2018-07-15,2018,7,15,6,6.80244258312327e-05,1.8199947865005127e-05
2018-07-16,2018,7,16,0,0.0001287384989273,5.761407383168829e-05
2018-07-17,2018,7,17,1,0.0001667957280712,8.895860292454601e-05
2018-07-18,2018,7,18,2,0.0001122903866019,4.468990708680941e-05
2018-07-19,2018,7,19,3,0.0001233953598708,6.928259961510745e-05
2018-07-20,2018,7,20,4,0.000118030037562,6.7732235648045e-05
2018-07-21,2018,7,21,5,0.0001286129821806,5.664253680717037e-05
2018-07-22,2018,7,22,6,8.038751454131862e-05,3.4421497393229775e-05
2018-07-23,2018,7,23,0,0.0001050201020414,6.856103457011154e-05
2018-07-24,2018,7,24,1,0.0001078670579854,5.284745972210484e-05
2018-07-25,2018,7,25,2,0.0001223982203892,4.42968848184501e-05
2018-07-26,2018,7,26,3,0.0001274876845791,4.44443436122455e-05
2018-07-27,2018,7,27,4,0.0001232399214754,5.081384174443194e-05
2018-07-28,2018,7,28,5,8.414602148673343e-05,4.149681201975069e-05
2018-07-29,2018,7,29,6,6.850576614723891e-05,3.7362643853718536e-05
2018-07-30,2018,7,30,0,0.000119292164247,6.524420094919671e-05
2018-07-31,2018,7,31,1,0.0001511351940998,6.702963125600913e-05
2018-08-01,2018,8,1,2,0.0001470783952168,5.703893711666119e-05
2018-08-02,2018,8,2,3,0.0001323054630026,6.841732368164795e-05
2018-08-03,2018,8,3,4,0.0001219117036325,5.206108742900554e-05
2018-08-06,2018,8,6,0,0.0001173055744053,5.086268812334384e-05
2018-08-07,2018,8,7,1,0.0001199314636633,5.697852005452724e-05
2018-08-08,2018,8,8,2,0.0001411241290388,6.359155642391434e-05
2018-08-09,2018,8,9,3,0.000124225517401,5.955847809338045e-05
2018-08-10,2018,8,10,4,0.0001240214228954,2.408849862961789e-05
2018-08-12,2018,8,12,6,0.0001505785795855,6.21819074278444e-05
2018-08-13,2018,8,13,0,0.0001323279530516,6.79232428794202e-05
2018-08-14,2018,8,14,1,0.0001054200830334,4.290596082045405e-05
2018-08-15,2018,8,15,2,0.0001228136569464,3.527755459256183e-05
2018-08-16,2018,8,16,3,0.0001548031441214,5.565928281539321e-05
2018-08-17,2018,8,17,4,0.0001573889852375,7.040920177893426e-05
2018-08-18,2018,8,18,5,0.0001262035026236,5.565979604040343e-05
2018-08-19,2018,8,19,6,6.629666751037615e-05,2.838925764342183e-05
2018-08-20,2018,8,20,0,0.000125283593878,5.750208584714762e-05
2018-08-22,2018,8,22,2,0.0001522005494862,6.041674695999687e-05
2018-08-23,2018,8,23,3,0.0001185467698087,5.241872445106182e-05
2018-08-24,2018,8,24,4,0.0001071363794825,5.013856846319612e-05
2018-08-25,2018,8,25,5,0.000107161156725,5.005828047767267e-05
2018-08-26,2018,8,26,6,7.34299981100238e-05,2.2246173600373016e-05
2018-08-27,2018,8,27,0,0.0001701823276769,8.334177139182569e-05
2018-08-28,2018,8,28,1,0.0002020517957867,0.0001046131669044
2018-08-29,2018,8,29,2,0.0001757010456595,8.376997851685082e-05
2018-08-30,2018,8,30,3,0.0001042763610024,4.594845117247879e-05
2018-08-31,2018,8,31,4,9.386282467066124e-05,2.703693129552389e-05
2018-09-01,2018,9,1,5,0.0001266596417011,5.104411806849165e-05
2018-09-02,2018,9,2,6,7.258466040337558e-05,3.772403099558386e-05
2018-09-03,2018,9,3,0,0.0001716356711378,8.101471983881245e-05
2018-09-04,2018,9,4,1,0.0001428139940025,7.994845902889974e-05
2018-09-05,2018,9,5,2,0.0001384413888193,5.819075797836775e-05
2018-09-06,2018,9,6,3,0.0001134465969818,3.0808485545555206e-05
2018-09-07,2018,9,7,4,0.0001275476679423,5.25147574175573e-05
2018-09-08,2018,9,8,5,0.0001396571013752,5.348834305908329e-05
2018-09-09,2018,9,9,6,7.5121595923668e-05,2.757800008370109e-05
2018-09-10,2018,9,10,0,6.716946989186502e-05,2.4663450579544352e-05
2018-09-11,2018,9,11,1,9.014209685856408e-05,2.2688710392629498e-05
2018-09-12,2018,9,12,2,0.0001227552142918,4.662241412293835e-05
2018-09-13,2018,9,13,3,0.0001601715818699,6.65111259664702e-05
2018-09-14,2018,9,14,4,0.0001204616382963,5.844185855787333e-05
2018-09-15,2018,9,15,5,0.0001233736690126,3.905182851419724e-05
2018-09-16,2018,9,16,6,6.606319456513319e-05,1.6920661385041593e-05
2018-09-17,2018,9,17,0,0.0001088931301484,3.460315818866458e-05
2018-09-18,2018,9,18,1,0.0001321684390621,5.428869055216679e-05
2018-09-19,2018,9,19,2,0.0001380123822936,6.89644046912752e-05
2018-09-20,2018,9,20,3,0.0001031495598762,4.9231946430687256e-05
2018-09-21,2018,9,21,4,0.000114086256229,4.822665798354202e-05
2018-09-22,2018,9,22,5,0.0001062971235709,4.047777557951856e-05
2018-09-23,2018,9,23,6,8.6761715982846e-05,2.840104424393344e-05
2018-09-24,2018,9,24,0,0.000148345646479,5.6255072470892896e-05
