Year,Month,NO2_trop_mean,N_days,SEM,Fecha_datetime
2018,7,0.00012011800540688236,29.0,1.1083900300997016e-05,2018-07-01
2018,8,0.00012865070532044672,27.0,1.1181445947386039e-05,2018-08-01
2018,9,0.00011624168971548663,30.0,9.035593925893637e-06,2018-09-01
2018,10,9.65148696529724e-05,25.0,9.20827160892645e-06,2018-10-01
2018,11,8.580573957950358e-05,28.0,7.506216149701323e-06,2018-11-01
2018,12,7.046183453554771e-05,29.0,6.410037974825782e-06,2018-12-01
2019,1,4.901948790612884e-05,22.0,5.482097704059586e-06,2019-01-01
2019,2,4.2264668191201494e-05,23.0,5.476918500589621e-06,2019-02-01
2019,3,6.676296137704076e-05,31.0,6.996376210202441e-06,2019-03-01
2019,4,9.168185409513506e-05,27.0,1.0317249441111903e-05,2019-04-01
2019,5,0.00012268623328340867,30.0,1.0608710912541003e-05,2019-05-01
2019,6,0.00013607330147043486,30.0,1.231515373675009e-05,2019-06-01
2019,7,0.00012021321748673019,31.0,1.074525038006933e-05,2019-07-01
2019,8,0.00012891340009926194,30.0,1.048654405016276e-05,2019-08-01
2019,9,0.00011046207611331393,29.0,8.733525147536321e-06,2019-09-01
2019,10,0.00010001411733528245,31.0,8.199591556849967e-06,2019-10-01
2019,11,8.550489189888306e-05,30.0,7.096594578279094e-06,2019-11-01
2019,12,6.273466336840423e-05,26.0,5.970662632755554e-06,2019-12-01
2020,1,4.942524526144335e-05,25.0,4.463951034702279e-06,2020-01-01
2020,2,4.630568235979886e-05,25.0,4.918627440083013e-06,2020-02-01
2020,3,3.857496576395778e-05,29.0,4.049866737884775e-06,2020-03-01
2020,4,2.586391486801766e-05,30.0,2.3485440880842263e-06,2020-04-01
2020,5,4.794857596010188e-05,28.0,5.155878601353793e-06,2020-05-01
2020,6,7.88151587246706e-05,30.0,8.124683616563367e-06,2020-06-01
2020,7,0.00010397440493549282,30.0,9.889285147425018e-06,2020-07-01
2020,8,9.972960346246799e-05,30.0,9.30093068879358e-06,2020-08-01
2020,9,9.293797526997103e-05,30.0,7.95990481419036e-06,2020-09-01
2020,10,8.307158389393038e-05,29.0,7.0716731493111485e-06,2020-10-01
2020,11,8.336854567508329e-05,27.0,7.90102673833378e-06,2020-11-01
