Year,Month,NO2_trop_mean,N_days,SEM,Fecha_datetime
2018,7,3.432988909553178e-05,4.0,3.5916090878196544e-06,2018-07-01
2018,8,2.6340507776066876e-05,7.0,2.1132029798298935e-06,2018-08-01
2018,9,4.4852431357419216e-05,5.0,6.946654705158267e-06,2018-09-01
2018,10,3.4447814927520895e-05,4.0,4.272449603155089e-06,2018-10-01
2018,11,3.0826827474093185e-05,5.0,5.72300417447504e-06,2018-11-01
2018,12,4.379636270495055e-05,16.0,4.893588210656225e-06,2018-12-01
2019,1,3.650346695754208e-05,9.0,4.0958142832278985e-06,2019-01-01
2019,2,6.012644116667414e-05,7.0,6.9995821581445705e-06,2019-02-01
2019,3,3.1129713290937233e-05,1.0,9.84259913739479e-07,2019-03-01
2019,4,3.589028426391171e-05,4.0,4.124100090635592e-06,2019-04-01
2019,5,2.6200130617648357e-05,3.0,2.660533728263798e-06,2019-05-01
2019,6,2.3859174810359727e-05,5.0,1.6248418032752025e-06,2019-06-01
2019,7,2.2056930730946073e-05,7.0,3.8860634372097095e-06,2019-07-01
2019,8,2.891026639827248e-05,9.0,2.5676577195409182e-06,2019-08-01
2019,9,3.417519416010011e-05,5.0,3.55750862703553e-06,2019-09-01
2019,10,3.311877558209299e-05,2.0,3.840590244966797e-06,2019-10-01
2019,11,3.6601238163475e-05,5.0,4.105648165290154e-06,2019-11-01
2019,12,3.549627042403876e-05,7.0,3.5606281134202288e-06,2019-12-01
2020,1,4.951809380228301e-05,15.0,9.493370806309801e-06,2020-01-01
2020,2,6.186690979239663e-05,16.0,9.08714061676272e-06,2020-02-01
2020,3,3.835705616320074e-05,10.0,6.303569587053313e-06,2020-03-01
2020,4,2.5502788085892227e-05,4.0,1.7831347687826985e-06,2020-04-01
2020,5,2.6910960153948768e-05,4.0,1.160655236412111e-06,2020-05-01
2020,6,2.0985213515503417e-05,8.0,1.9725266230503246e-06,2020-06-01
2020,7,1.6346806727714096e-05,5.0,1.2336801180113202e-06,2020-07-01
2020,8,3.195066221001664e-05,9.0,1.9133729331758895e-06,2020-08-01
2020,9,2.873878206972042e-05,7.0,2.5137257947129116e-06,2020-09-01
2020,10,2.142435461347689e-05,4.0,3.4588505424685257e-06,2020-10-01
2020,11,3.606922634938732e-05,4.0,4.459336359066558e-06,2020-11-01
