Fecha_datetime,Year,Month,Day,DOW,NO2_trop_mean,NO2_trop_std
2018-09-26,2018,9,26,2,8.596177838330714e-05,1.7895497923832446e-05
2018-09-27,2018,9,27,3,8.078959449850219e-05,1.5829530126200588e-05
2018-09-29,2018,9,29,5,1.6007143243155375e-05,9.683122637495397e-07
2018-09-30,2018,9,30,6,5.300133764003145e-05,1.495564305375053e-05
2018-10-02,2018,10,2,1,9.974283392389358e-05,5.214161215489388e-05
2018-10-03,2018,10,3,2,7.980403605914097e-05,2.543947547574672e-05
2018-10-07,2018,10,7,6,5.2966894096965885e-05,1.4166291826368115e-05
2018-10-10,2018,10,10,2,9.176108690266312e-05,2.247391323092892e-05
2018-10-12,2018,10,12,4,3.054718905972348e-05,8.143595967967467e-06
2018-10-13,2018,10,13,5,4.159521614898743e-05,1.739193645000013e-05
2018-10-17,2018,10,17,2,6.140940275492484e-05,3.066095537429003e-05
2018-10-18,2018,10,18,3,0.0001170137257336,1.7461554475411678e-05
2018-10-20,2018,10,20,5,1.8388223353246296e-05,9.05661771976967e-06
2018-10-21,2018,10,21,6,4.057530157927242e-05,2.6111615999571967e-05
2018-10-22,2018,10,22,0,7.577897965095978e-05,3.264669681432149e-05
2018-10-23,2018,10,23,1,0.0001097359348244,4.591049367110881e-05
2018-10-27,2018,10,27,5,5.479913244605709e-05,2.3850555951425084e-05
2018-10-28,2018,10,28,6,8.784830264972937e-06,5.730310189157251e-06
2018-10-31,2018,10,31,2,8.165612462888407e-05,2.3839773974817067e-05
2018-11-01,2018,11,1,3,6.940857474965935e-05,1.5238575226187696e-05
2018-11-03,2018,11,3,5,4.42504392358578e-05,1.2877581850365358e-05
2018-11-07,2018,11,7,2,8.702701410261777e-05,3.4761826502723786e-05
2018-11-10,2018,11,10,5,4.1735716128033256e-05,1.617124851766189e-05
2018-11-11,2018,11,11,6,4.6394637293092345e-05,1.704114780990437e-05
2018-11-12,2018,11,12,0,7.98284402691099e-05,3.4506497929404866e-05
2018-11-13,2018,11,13,1,6.532743682638623e-05,2.0387965111269856e-05
2018-11-14,2018,11,14,2,4.558188604062148e-05,1.7798548359541217e-05
2018-11-15,2018,11,15,3,2.2252827133872607e-05,7.018926391574958e-06
2018-11-17,2018,11,17,5,4.0562254481607705e-05,2.2735757223543053e-05
2018-11-18,2018,11,18,6,3.8562770954987805e-05,2.0680083518143277e-05
2018-11-22,2018,11,22,3,6.323208735074593e-05,1.9393723833681807e-05
2018-11-23,2018,11,23,4,6.238800385698817e-05,1.996820968011843e-05
2018-11-28,2018,11,28,2,6.856417143253039e-05,3.244157789164408e-05
2018-11-29,2018,11,29,3,0.0001049838343632,5.854485185959526e-05
2018-12-01,2018,12,1,5,2.8620610273505078e-05,7.638069568707146e-06
2018-12-02,2018,12,2,6,4.4275382324364576e-05,1.1435245269471132e-05
2018-12-04,2018,12,4,1,6.900108664352157e-05,2.1474607859844106e-05
2018-12-05,2018,12,5,2,2.621170966267572e-05,6.049229875436553e-06
2018-12-06,2018,12,6,3,2.162695136316447e-05,3.793516142793483e-06
2018-12-09,2018,12,9,6,3.0038030182856254e-05,1.6703908194219887e-05
2018-12-11,2018,12,11,1,6.719639968514046e-05,1.7479650883743807e-05
2018-12-12,2018,12,12,2,8.585086470548015e-05,2.9397853172394878e-05
2018-12-13,2018,12,13,3,9.898864201874872e-05,5.45994282293291e-05
2018-12-14,2018,12,14,4,0.0001143536176317,7.008890724477251e-05
2018-12-15,2018,12,15,5,9.39621548776669e-05,3.504355527826443e-05
2018-12-16,2018,12,16,6,5.5731592149798446e-05,1.598679077565047e-05
2018-12-17,2018,12,17,0,4.907748556734559e-05,1.6708624751851337e-05
2018-12-18,2018,12,18,1,9.884988117986736e-05,4.591604475003497e-05
2018-12-19,2018,12,19,2,6.951108550100837e-05,3.1506885767620065e-05
2018-12-20,2018,12,20,3,0.0001147141422674,4.846988417193599e-05
2018-12-22,2018,12,22,5,5.184920997805162e-05,1.4479475807663914e-05
2018-12-23,2018,12,23,6,3.582798036898984e-05,1.4107622805165408e-05
2018-12-28,2018,12,28,4,5.002903173710983e-05,1.5229891499246184e-05
2018-12-29,2018,12,29,5,3.57762553251811e-05,1.4587263452390745e-05
2018-12-30,2018,12,30,6,5.593334682177847e-05,2.328892633703292e-05
2018-12-31,2018,12,31,0,6.26662340367114e-05,2.6644121255684683e-05
2019-01-01,2019,1,1,1,4.8372767473974106e-05,1.3641835546830948e-05
2019-01-02,2019,1,2,2,6.182338678489634e-05,2.027125951032698e-05
2019-01-03,2019,1,3,3,6.78853724685866e-05,2.878209195284495e-05
2019-01-04,2019,1,4,4,4.5337180791178574e-05,2.273524926843158e-05
2019-01-05,2019,1,5,5,7.669857907213312e-05,3.876132370790439e-05
2019-01-06,2019,1,6,6,3.9450861776325136e-05,1.6134549039913033e-05
2019-01-07,2019,1,7,0,6.205361677243335e-05,1.4083544848159845e-05
2019-01-08,2019,1,8,1,5.659623735816411e-05,2.715270836566669e-05
2019-01-09,2019,1,9,2,5.981331312773492e-05,1.8138187052507836e-05
2019-01-10,2019,1,10,3,6.504649088613415e-05,2.22205920414729e-05
2019-01-11,2019,1,11,4,7.013140953923214e-05,1.98957872507448e-05
2019-01-12,2019,1,12,5,4.7851942395997725e-05,1.702520724760735e-05
2019-01-13,2019,1,13,6,4.36024405806888e-05,1.403877144022148e-05
2019-01-14,2019,1,14,0,6.802677671147567e-05,1.744835384861274e-05
2019-01-15,2019,1,15,1,9.370097268205068e-05,4.1207375244496094e-05
2019-01-16,2019,1,16,2,8.964298232289171e-05,3.7229211744424205e-05
2019-01-17,2019,1,17,3,8.336863392827509e-05,1.7200528244988433e-05
2019-01-18,2019,1,18,4,6.493746130942609e-05,3.072692405072731e-05
2019-01-19,2019,1,19,5,6.092635835449393e-05,1.550038730231126e-05
2019-01-20,2019,1,20,6,5.054490397918336e-05,2.2699152665466505e-05
2019-01-21,2019,1,21,0,8.624672659980294e-05,2.1135240684265443e-05
2019-01-22,2019,1,22,1,3.778909577471413e-05,1.1498896201673573e-05
2019-01-23,2019,1,23,2,4.961867175269256e-05,1.8918010966321632e-05
2019-01-24,2019,1,24,3,7.650761318216214e-05,3.109620958999616e-05
2019-01-26,2019,1,26,5,0.0001176583636136,5.7160981137750304e-05
2019-01-27,2019,1,27,6,5.692168540140112e-05,1.5376839095204513e-05
2019-01-28,2019,1,28,0,8.456502893746657e-05,2.846933062997791e-05
2019-01-29,2019,1,29,1,9.206307809329254e-05,3.216456828628593e-05
2019-01-30,2019,1,30,2,8.560214694203865e-05,2.778145958364355e-05
2019-01-31,2019,1,31,3,0.0001302840084598,8.903691712333906e-05
2019-02-01,2019,2,1,4,9.182138455714484e-05,3.4113325979756294e-05
2019-02-02,2019,2,2,5,7.519524758792323e-05,2.064681043840405e-05
2019-02-03,2019,2,3,6,3.5270741250584594e-05,1.034043520162823e-05
2019-02-07,2019,2,7,3,0.0002039939443645,0.000125580626061
2019-02-08,2019,2,8,4,6.794375374980382e-05,3.145991153170096e-05
2019-02-09,2019,2,9,5,6.513290608358707e-05,2.4052568498303787e-05
2019-02-10,2019,2,10,6,6.055815495746277e-05,1.6679734484863755e-05
2019-02-11,2019,2,11,0,7.463950270953367e-05,3.011963659274882e-05
2019-02-12,2019,2,12,1,8.630163291038807e-05,3.756666675176931e-05
2019-02-17,2019,2,17,6,4.884752500987725e-05,1.6006417496549504e-05
2019-02-18,2019,2,18,0,5.280225585078354e-05,1.7924440622104216e-05
2019-02-19,2019,2,19,1,4.9250539354206165e-05,2.2384265071259004e-05
2019-02-20,2019,2,20,2,8.603811998734885e-05,6.499245233642795e-05
2019-02-22,2019,2,22,4,0.000128404750202,5.618375412655412e-05
2019-02-23,2019,2,23,5,7.897438907040914e-05,3.100225928816133e-05
2019-02-24,2019,2,24,6,5.5732573347108534e-05,1.8893896827695017e-05
2019-02-25,2019,2,25,0,8.564733369739041e-05,1.952007770815412e-05
2019-02-26,2019,2,26,1,9.176763143080756e-05,3.131242247604161e-05
2019-02-27,2019,2,27,2,8.219556956286918e-05,3.329934759100067e-05
2019-03-02,2019,3,2,5,9.687394673171365e-05,4.744688426087935e-06
2019-03-05,2019,3,5,1,6.570868790091818e-05,2.9520215549004212e-05
2019-03-06,2019,3,6,2,4.680858593348678e-05,1.0856882659716065e-05
2019-03-07,2019,3,7,3,4.564061621386137e-05,9.47937328163156e-06
2019-03-08,2019,3,8,4,6.971786557363995e-05,2.055953409013357e-05
2019-03-09,2019,3,9,5,7.426685688621438e-05,5.267825057143506e-05
2019-03-10,2019,3,10,6,3.705974274973428e-05,7.500445492455913e-06
2019-03-11,2019,3,11,0,1.1523710967109815e-05,7.626634531473359e-07
2019-03-12,2019,3,12,1,4.148639536553785e-05,6.450497822512257e-06
2019-03-13,2019,3,13,2,6.168975069980691e-05,2.191985380130503e-05
2019-03-14,2019,3,14,3,6.799218001684358e-05,2.205303623518886e-05
2019-03-15,2019,3,15,4,-1.2461822507248144e-06,0.0
2019-03-16,2019,3,16,5,0.0001057540688509,3.2426949663878403e-05
2019-03-18,2019,3,18,0,3.821784775936976e-05,0.0
