Fecha_datetime,Year,Month,Day,DOW,NO2_trop_mean,NO2_trop_std
2018-07-02,2018,7,2,0,0.0001110552568664,4.559086012535022e-05
2018-07-04,2018,7,4,2,0.0001490033305913,5.269573868213484e-05
2018-07-05,2018,7,5,3,9.20070174964898e-05,2.7079527850766175e-05
2018-07-06,2018,7,6,4,0.000161864177076,2.4528648355850785e-05
2018-07-07,2018,7,7,5,9.540358855956356e-05,2.5729760340224345e-05
2018-07-08,2018,7,8,6,8.278729394785787e-05,1.833632118184211e-05
2018-07-09,2018,7,9,0,0.0003298670267755,0.0001457193936877
2018-07-10,2018,7,10,1,0.0001247936545589,4.814735632082516e-05
2018-07-12,2018,7,12,3,6.65475495914537e-05,1.5813586044981053e-05
2018-07-13,2018,7,13,4,0.0001987812071802,0.0001051032627423
2018-07-14,2018,7,14,5,6.115932037452922e-05,9.440424337996118e-06
2018-07-15,2018,7,15,6,0.0001167864196466,3.826100024632648e-05
2018-07-16,2018,7,16,0,9.400017339366079e-05,1.9977351340984774e-05
2018-07-17,2018,7,17,1,7.057487183008407e-05,1.0382697942360214e-05
2018-07-18,2018,7,18,2,0.0001805689564879,6.396634673246229e-05
2018-07-19,2018,7,19,3,0.0001469529717024,3.7517518881617e-05
2018-07-20,2018,7,20,4,7.181597117407703e-05,1.4140944998857016e-05
2018-07-21,2018,7,21,5,8.209021026731286e-05,1.7252897512025396e-05
2018-07-22,2018,7,22,6,0.0001268849481977,4.524090694698656e-05
2018-07-23,2018,7,23,0,0.0002328554484721,0.0001003744839194
2018-07-24,2018,7,24,1,0.0001251844191321,4.7550263149281896e-05
2018-07-25,2018,7,25,2,0.0001240757101764,2.882636038686164e-05
2018-07-26,2018,7,26,3,0.0001744013360314,7.185146148619161e-05
2018-07-28,2018,7,28,5,0.0001667940437591,6.859959910621803e-05
2018-07-29,2018,7,29,6,8.934437816807657e-05,2.8823358721173173e-05
2018-07-30,2018,7,30,0,0.0001800028587143,8.38439979340745e-05
2018-07-31,2018,7,31,1,0.0001257065446761,3.453632347228734e-05
2018-08-01,2018,8,1,2,7.018208013512254e-05,1.9413687325267714e-05
2018-08-02,2018,8,2,3,6.415087339103003e-05,1.9081125183305225e-05
2018-08-07,2018,8,7,1,0.0002119483410084,8.742372077386848e-05
2018-08-08,2018,8,8,2,0.0001661973674,6.966023339407316e-05
2018-08-09,2018,8,9,3,0.000123315471932,2.1778620200580956e-05
2018-08-10,2018,8,10,4,7.76456096667206e-05,7.826903986673147e-06
2018-08-13,2018,8,13,0,0.0001377156792321,8.134577086199983e-05
2018-08-14,2018,8,14,1,0.000141439431558,3.442662600684347e-05
2018-08-15,2018,8,15,2,4.942517126705862e-05,5.241933396595287e-06
2018-08-16,2018,8,16,3,0.000159861748333,8.601077921653225e-05
2018-08-17,2018,8,17,4,0.00014438065171535,5.2114273981905823e-05
2018-08-18,2018,8,18,5,9.792055121571872e-05,2.5708989758619957e-05
2018-08-19,2018,8,19,6,7.696060507839975e-05,2.2234222834636503e-05
2018-08-20,2018,8,20,0,9.112025873037056e-05,0.0
2018-08-23,2018,8,23,3,8.547470032628826e-05,5.444003438409583e-06
