Fecha_datetime,Year,Month,Day,DOW,NO2_trop_mean,NO2_trop_std
2018-07-02,2018,7,2,0,1.9339771824888885e-05,0.0
2018-07-11,2018,7,11,2,4.080899452674202e-05,0.0
2018-07-12,2018,7,12,3,3.854803174139719e-05,1.1649526801751185e-05
2018-07-23,2018,7,23,0,3.862275828909903e-05,8.407319354623119e-06
2018-08-08,2018,8,8,2,1.817698161143831e-05,9.247670999785754e-07
2018-08-10,2018,8,10,4,2.8860654307165365e-05,8.85702594552917e-06
2018-08-19,2018,8,19,6,2.791678581804677e-05,8.75956976249652e-06
2018-08-22,2018,8,22,2,3.1039046007208526e-05,0.0
2018-08-24,2018,8,24,4,3.1576809836347346e-05,7.563811934854147e-06
2018-08-26,2018,8,26,6,3.136383587239737e-05,2.360571681874965e-06
2018-08-30,2018,8,30,3,1.544944097986445e-05,0.0
2018-09-16,2018,9,16,6,3.3989262306691046e-05,2.249870583772884e-06
2018-09-17,2018,9,17,0,6.600935765170357e-05,2.784094928793085e-05
2018-09-20,2018,9,20,3,6.0392691326045225e-05,1.624502048748078e-05
2018-09-21,2018,9,21,4,2.536371357564349e-05,0.0
2018-09-30,2018,9,30,6,3.850713192701277e-05,1.274045620383756e-05
2018-10-01,2018,10,1,0,3.636905255343798e-05,1.1661747039179356e-05
2018-10-02,2018,10,2,1,4.1488489374950346e-05,9.141458067869986e-06
2018-10-23,2018,10,23,1,1.5784372089626915e-05,1.2909376782057205e-06
2018-10-27,2018,10,27,5,4.414934569206834e-05,8.4161802548755e-06
2018-11-01,2018,11,1,3,3.980070802821809e-05,2.5181714309061507e-05
2018-11-02,2018,11,2,4,2.973043001789192e-05,5.42443981576752e-06
2018-11-07,2018,11,7,2,2.9138000172679316e-05,0.0
2018-11-08,2018,11,8,3,2.5787207050598223e-05,0.0
2018-11-23,2018,11,23,4,2.9677792101078397e-05,1.2460984578611407e-05
2018-12-01,2018,12,1,5,3.350291933773934e-05,9.017687238435092e-06
2018-12-02,2018,12,2,6,2.0545763622313247e-05,1.5195290825164336e-05
2018-12-03,2018,12,3,0,7.652526635337747e-05,4.589300478457812e-05
2018-12-04,2018,12,4,1,2.282564096252833e-05,1.6662485655973073e-05
2018-12-08,2018,12,8,5,3.085965640263726e-05,5.000755354516715e-06
2018-12-15,2018,12,15,5,6.866335250779288e-05,1.8429278140133056e-05
2018-12-16,2018,12,16,6,5.7044955978735183e-05,2.3298174937027368e-05
2018-12-18,2018,12,18,1,5.867505387868732e-05,0.0
2018-12-19,2018,12,19,2,4.449938034521397e-05,1.8467525712250185e-05
2018-12-22,2018,12,22,5,4.622168119728006e-05,2.490995631291739e-05
2018-12-23,2018,12,23,6,2.421535100438632e-05,0.0
2018-12-24,2018,12,24,0,2.5811721500883013e-05,4.682486117601154e-06
2018-12-25,2018,12,25,1,4.550527189305083e-05,1.3376435310258343e-05
2018-12-26,2018,12,26,2,7.43080926542817e-05,2.839323453015233e-05
2018-12-30,2018,12,30,6,3.6395316120044265e-05,1.4653963943199889e-05
2018-12-31,2018,12,31,0,3.514237952025768e-05,1.8538808177184755e-05
2019-01-01,2019,1,1,1,1.0792966133515091e-05,1.0351090048920375e-05
2019-01-02,2019,1,2,2,2.446103908126049e-05,7.919374692222741e-06
2019-01-04,2019,1,4,4,3.242782550649285e-05,2.332597390585506e-06
2019-01-05,2019,1,5,5,8.834005548040754e-05,3.019590846125658e-05
2019-01-09,2019,1,9,2,1.6233590991199428e-05,2.509569588581119e-06
2019-01-15,2019,1,15,1,3.662743628592543e-05,1.1020241150114893e-05
