Fecha_datetime,Year,Month,Day,DOW,NO2_trop_mean,NO2_trop_std
2018-07-08,2018,7,8,6,4.640286023679514e-05,2.628320963098633e-05
2018-07-11,2018,7,11,2,9.589561124831676e-05,4.790958505576134e-06
2018-07-12,2018,7,12,3,0.000158539827798,6.3237142342847656e-06
2018-07-14,2018,7,14,5,0.0001295957657099,5.636244663764516e-05
2018-07-15,2018,7,15,6,7.233452456741144e-05,1.6465113872054848e-05
2018-07-21,2018,7,21,5,0.0001071920708262,2.94950227604921e-05
2018-07-23,2018,7,23,0,0.000120270184074,4.308378205091914e-05
2018-07-24,2018,7,24,1,0.0001771041229573,7.993772195782194e-05
2018-07-30,2018,7,30,0,0.0001295305355454,4.2368739879975725e-05
2018-07-31,2018,7,31,1,0.000208772247512,6.792578192953373e-05
2018-08-01,2018,8,1,2,0.00012414758899225,3.655317772024312e-05
2018-08-02,2018,8,2,3,0.0001374500656621,7.260981503541327e-05
2018-08-06,2018,8,6,0,0.0001269616936557,3.413580908013376e-05
2018-08-09,2018,8,9,3,9.669355574098634e-05,2.0992507859132025e-05
2018-08-10,2018,8,10,4,0.0002265011426061,0.0
2018-08-12,2018,8,12,6,5.7043837669409805e-05,1.9709361690867612e-05
2018-08-14,2018,8,14,1,7.135850282960005e-05,2.420083174273401e-05
2018-08-15,2018,8,15,2,0.0003916679200403,0.0001060880702367
2018-08-16,2018,8,16,3,0.0001080305216788,3.761181168519138e-05
2018-08-17,2018,8,17,4,0.0001216698736152,5.574118104164306e-05
2018-08-19,2018,8,19,6,1.7885652889822747e-05,1.2131861285962892e-05
2018-08-20,2018,8,20,0,3.258698635108971e-05,1.1917499118672953e-05
2018-08-21,2018,8,21,1,0.0005398378173848,0.0001197897134515
2018-08-22,2018,8,22,2,6.199998706443748e-05,1.9080004943124737e-05
2018-08-25,2018,8,25,5,5.9961792201281405e-05,1.6441016371938287e-05
2018-08-26,2018,8,26,6,8.324457001457316e-05,2.0952139567388444e-05
2018-08-27,2018,8,27,0,0.0001469445235044,5.237834875949173e-05
2018-08-28,2018,8,28,1,0.0001891866927642,6.013144458410738e-05
2018-08-29,2018,8,29,2,0.0001162845410474,3.4210017034294385e-05
2018-08-31,2018,8,31,4,7.930784308951578e-05,2.759524425115292e-05
2018-09-01,2018,9,1,5,0.0001342388968864,1.971259654168833e-05
2018-09-02,2018,9,2,6,6.406025259381242e-05,2.1717780023710474e-05
2018-09-03,2018,9,3,0,0.0001664695337232,5.963716134894312e-05
2018-09-04,2018,9,4,1,0.0001278370726654,3.926134379896227e-05
2018-09-05,2018,9,5,2,8.739832555089655e-05,2.479118065694539e-05
2018-09-06,2018,9,6,3,0.0002235429850811,6.661711827325802e-05
2018-09-07,2018,9,7,4,0.0001218932660247,4.574264952332607e-05
2018-09-08,2018,9,8,5,4.073883990203366e-05,8.168645501674687e-06
2018-09-09,2018,9,9,6,4.851550070582263e-05,4.054541949250281e-06
2018-09-10,2018,9,10,0,4.536658866716877e-05,1.4671904123979848e-05
2018-09-11,2018,9,11,1,8.93167762699038e-05,4.381369546287548e-05
2018-09-13,2018,9,13,3,0.00015654609541640002,6.298094610552e-05
2018-09-14,2018,9,14,4,9.35472659247968e-05,2.1789003023645347e-05
2018-09-16,2018,9,16,6,4.17019437009003e-05,0.0
2018-09-18,2018,9,18,1,5.368882284114437e-05,8.987899552666421e-06
2018-09-19,2018,9,19,2,4.876335029876692e-05,9.883619917430352e-06
2018-09-20,2018,9,20,3,4.919598376876406e-05,7.969380029646376e-06
2018-09-21,2018,9,21,4,0.0001476373514748,5.979832301093439e-05
2018-09-22,2018,9,22,5,7.874325204403561e-05,2.4376224897111128e-08
2018-09-24,2018,9,24,0,4.8885187440700965e-05,3.962878742078384e-06
2018-09-25,2018,9,25,1,4.432308133505534e-05,1.6064934155116465e-05
2018-09-26,2018,9,26,2,9.073217291783082e-05,0.0
2018-09-29,2018,9,29,5,8.41186542760342e-05,2.887329372143631e-05
2018-10-01,2018,10,1,0,6.404529472649652e-05,2.090541029085105e-05
2018-10-02,2018,10,2,1,0.0003497287882029,9.7152927647476e-05
2018-10-03,2018,10,3,2,0.0001083337283351,3.606644648500948e-05
2018-10-04,2018,10,4,3,0.00019520262630970002,6.359980853060438e-05
2018-10-05,2018,10,5,4,0.0002955145815208,9.8537107739401e-05
2018-10-06,2018,10,6,5,7.163218909520474e-05,1.820451029529701e-05
2018-10-07,2018,10,7,6,8.69696406499019e-05,2.430652572608943e-05
2018-10-08,2018,10,8,0,8.967847582276573e-05,1.5302399667014392e-05
2018-10-09,2018,10,9,1,7.732255264965994e-05,2.3869175122882763e-05
2018-10-10,2018,10,10,2,7.864786474704043e-05,2.3130116486182574e-05
2018-10-13,2018,10,13,5,7.0415243515356e-05,1.755908011896804e-05
2018-10-14,2018,10,14,6,6.065361526764712e-05,1.205281444095842e-05
2018-10-16,2018,10,16,1,0.0001439299698928,4.691633863062993e-05
2018-10-17,2018,10,17,2,0.0001073261247978,3.194549637894814e-05
2018-10-19,2018,10,19,4,8.001984698671668e-05,2.6043679742930903e-05
2018-10-23,2018,10,23,1,5.853364848852605e-05,1.6607644279604543e-05
2018-10-26,2018,10,26,4,9.102498734137043e-05,3.2101719205281725e-05
2018-10-27,2018,10,27,5,0.0001090169390158,2.7796912236445623e-05
2018-10-28,2018,10,28,6,8.103859745754312e-05,6.357678675201642e-05
2018-11-01,2018,11,1,3,0.0002051191575264,5.235494337317948e-05
2018-11-03,2018,11,3,5,8.281491874162284e-05,2.374417672955138e-05
2018-11-04,2018,11,4,6,6.454274740454528e-05,4.877446233800323e-05
2018-11-05,2018,11,5,0,0.0001592568872679,3.0531099063165836e-05
2018-11-06,2018,11,6,1,5.327619040632356e-05,3.864823481458482e-05
2018-11-07,2018,11,7,2,0.0001103605506907,1.802953928797737e-05
2018-11-08,2018,11,8,3,6.07436747846789e-05,4.095220713113493e-05
2018-11-09,2018,11,9,4,0.0001103042331763,1.0414488224059914e-05
