Fecha_datetime,Year,Month,Day,DOW,NO2_trop_mean,NO2_trop_std
2018-07-01,2018,7,1,6,0.0001820870346694,4.395852735753875e-05
2018-07-02,2018,7,2,0,0.0001791826883194,5.219787962937893e-05
2018-07-04,2018,7,4,2,0.0001800417000753,4.15309324501639e-05
2018-07-05,2018,7,5,3,0.0005384683302395,0.0002420426546727
2018-07-06,2018,7,6,4,0.0006658493290105,0.0002796227758488
2018-07-07,2018,7,7,5,0.0001388577041543,4.933163488039247e-05
2018-07-08,2018,7,8,6,6.778811827369721e-05,1.2289530637795925e-05
2018-07-09,2018,7,9,0,0.0001069322055635,2.2715222157445413e-05
2018-07-11,2018,7,11,2,0.0001182963168275,3.119160892170679e-05
2018-07-12,2018,7,12,3,0.0002629575627391,7.632011833364345e-05
2018-07-13,2018,7,13,4,0.0005588402781224,0.0001380287393197
2018-07-14,2018,7,14,5,0.00032239086437495,0.00010694494776205496
2018-07-15,2018,7,15,6,0.0001012324084497,2.365081239750179e-05
2018-07-16,2018,7,16,0,0.0005633210548156,0.0002826201166298
2018-07-17,2018,7,17,1,0.0002031047708756,5.211476956125928e-05
2018-07-18,2018,7,18,2,0.0001855076608409,3.521532315482027e-05
2018-07-19,2018,7,19,3,0.0002043760532113,3.841297539245136e-05
2018-07-20,2018,7,20,4,0.0001496835693651,2.834185432768118e-05
2018-07-23,2018,7,23,0,0.0003767866085671,7.91384383319509e-05
2018-07-25,2018,7,25,2,0.0001391352117697,2.2566790349045047e-05
2018-07-26,2018,7,26,3,0.0003808996077411,8.263914163603765e-05
2018-07-27,2018,7,27,4,0.0003654284269911,0.0001266787924286
2018-07-28,2018,7,28,5,0.0001748761177001,5.49486932454824e-05
2018-07-29,2018,7,29,6,7.253140756950897e-05,1.7550578555856306e-05
2018-08-08,2018,8,8,2,0.0004536072992843,0.0001262195311606
2018-08-09,2018,8,9,3,0.0001324355700047,2.9813966793511558e-05
2018-08-10,2018,8,10,4,0.00011944907785657594,2.9028878163417307e-05
2018-08-12,2018,8,12,6,5.2710166461763856e-05,2.62103488069716e-05
2018-08-13,2018,8,13,0,0.0001720453775425,6.811653419929759e-05
2018-08-14,2018,8,14,1,0.0004283769577418,0.0001074207949618
2018-08-18,2018,8,18,5,9.849388930559972e-05,2.3020524216341457e-05
2018-08-19,2018,8,19,6,0.0001272053277474,2.8197716239312747e-05
2018-08-20,2018,8,20,0,0.000359105226445,0.0001510360296879
2018-08-21,2018,8,21,1,0.0002800448403119,4.666212242614328e-05
2018-08-22,2018,8,22,2,0.0003312340976842,9.506997105006072e-05
2018-08-23,2018,8,23,3,0.0001816667999224,3.6912806640198885e-05
2018-08-28,2018,8,28,1,0.0002074432352067,5.0585778606100544e-05
2018-08-29,2018,8,29,2,0.0002697191130818,8.694631234368052e-05
2018-08-30,2018,8,30,3,0.000149091696331,2.823069282215573e-05
2018-08-31,2018,8,31,4,0.00015737298834480001,3.103808155682694e-05
2018-09-01,2018,9,1,5,0.0001531519778195,1.762275151351559e-05
2018-09-02,2018,9,2,6,0.0001034206593649,2.5576331366839177e-05
2018-09-06,2018,9,6,3,0.0001510812369604,6.1043277018864e-05
2018-09-07,2018,9,7,4,0.0001215196322382,2.23065180910704e-05
2018-09-08,2018,9,8,5,0.0001520094371632,2.7704848433169628e-05
2018-09-09,2018,9,9,6,0.0001083290644506,3.038207793629797e-05
2018-09-10,2018,9,10,0,0.0001058792094679,2.681984126849465e-05
2018-09-11,2018,9,11,1,8.359033056825845e-05,1.5783903915688784e-05
2018-09-12,2018,9,12,2,0.000129393840325,0.0
2018-09-13,2018,9,13,3,0.0001734882702845,3.870549829968613e-05
2018-09-15,2018,9,15,5,3.4415192203596234e-05,0.0
2018-09-16,2018,9,16,6,5.503956424741462e-05,1.9806740364500145e-05
2018-09-19,2018,9,19,2,0.0001035924198477,2.603239818142192e-05
2018-09-22,2018,9,22,5,0.0001077436880823,3.141753917694796e-05
2018-09-23,2018,9,23,6,7.667037873689644e-05,1.505956779497386e-05
2018-09-24,2018,9,24,0,0.0002526176158599,0.0001663831315065
2018-09-25,2018,9,25,1,0.0001759540261899,4.915926433266582e-05
2018-09-26,2018,9,26,2,0.0001867539220272,2.344848190514878e-05
2018-09-29,2018,9,29,5,7.283444604989285e-05,1.070935047582587e-05
2018-09-30,2018,9,30,6,6.330553151201457e-05,0.0
2018-10-02,2018,10,2,1,0.0002133386087158,5.429632860160191e-05
2018-10-09,2018,10,9,1,7.302340084109784e-05,1.4054218378223815e-05
2018-10-10,2018,10,10,2,0.000210095331626,9.591515888570373e-05
2018-10-18,2018,10,18,3,0.0001259598051758,1.354361758179081e-05
2018-10-20,2018,10,20,5,8.510343028152673e-05,3.6904501510981856e-05
2018-10-22,2018,10,22,0,0.0002833308694859,7.733509757325837e-05
2018-11-11,2018,11,11,6,6.938013704799732e-05,1.64249744805502e-05
2018-11-12,2018,11,12,0,0.0001970648943347,7.083250358048847e-05
2018-11-14,2018,11,14,2,9.095914431980366e-05,4.2769696732550775e-06
2018-11-17,2018,11,17,5,9.35742030107423e-05,3.125251837131927e-05
2018-11-26,2018,11,26,0,4.328267500931295e-05,1.5802861559999e-05
2018-11-27,2018,11,27,1,0.0001015323120993,3.120105853306633e-05
2018-11-28,2018,11,28,2,0.0002322786652657,3.448655068228525e-05
2018-12-02,2018,12,2,6,4.054143937537447e-05,0.0
2018-12-03,2018,12,3,0,4.4796219299314544e-05,0.0
2018-12-04,2018,12,4,1,3.730449680006132e-05,0.0
2018-12-05,2018,12,5,2,5.4359051083601046e-05,1.1009744784974326e-05
2018-12-06,2018,12,6,3,0.0001253131551259,3.689125860786295e-05
2018-12-09,2018,12,9,6,7.368868839957144e-05,2.503973518840565e-05
2018-12-12,2018,12,12,2,0.0001481795701911,4.92285503170953e-05
2018-12-13,2018,12,13,3,0.0001331570052948,4.301975230909498e-05
2018-12-14,2018,12,14,4,0.0001599907247056,2.829178723501513e-05
2018-12-15,2018,12,15,5,0.0001052101616469,4.453390452627789e-05
2018-12-16,2018,12,16,6,5.053287556425275e-05,5.323988977223038e-06
2018-12-17,2018,12,17,0,6.957513098511003e-05,8.60067391987802e-06
2018-12-18,2018,12,18,1,0.0001237375894233,3.539715226498578e-05
2018-12-20,2018,12,20,3,8.10603083584457e-05,1.8076093918797613e-05
2018-12-21,2018,12,21,4,4.421457924763672e-05,0.0
2018-12-27,2018,12,27,3,7.107770013456055e-05,1.3248063887482074e-05
2018-12-29,2018,12,29,5,7.777356655838859e-05,2.3759748285046214e-05
2018-12-30,2018,12,30,6,5.331008362467948e-05,1.6931749794076407e-05
2018-12-31,2018,12,31,0,6.340318183134851e-05,2.3785509779811985e-05
2019-01-02,2019,1,2,2,6.471205313621074e-05,1.5004108906946669e-05
2019-01-03,2019,1,3,3,5.6275950110978986e-05,1.906383719602967e-05
2019-01-07,2019,1,7,0,6.884134574229111e-05,1.3755110008143324e-05
2019-01-08,2019,1,8,1,6.059386419232526e-05,1.1008478222430162e-06
2019-01-09,2019,1,9,2,0.000129550820082,4.6156683306616005e-05
2019-01-10,2019,1,10,3,0.0001054908070091,2.7543667674803612e-05
2019-01-11,2019,1,11,4,8.15148583038282e-05,4.983402652022587e-06
2019-01-12,2019,1,12,5,4.028119719763027e-05,8.273647764027005e-06
2019-01-13,2019,1,13,6,5.718076863558963e-05,0.0
2019-01-14,2019,1,14,0,9.263935344077643e-05,2.0865298186254084e-05
2019-01-15,2019,1,15,1,0.0001134562359908,2.426252595344284e-05
2019-01-17,2019,1,17,3,0.0001163503193328,3.795338160950647e-05
2019-01-18,2019,1,18,4,4.777096910402178e-05,0.0
2019-01-19,2019,1,19,5,5.4787922017098e-05,1.2073027030098587e-05
2019-01-20,2019,1,20,6,6.156285235192627e-05,0.0
2019-01-21,2019,1,21,0,7.582758395453809e-05,1.7852007087377097e-05
2019-01-22,2019,1,22,1,7.0807414886076e-05,0.0
2019-01-23,2019,1,23,2,6.765519793930354e-05,1.1657543997608596e-05
2019-01-26,2019,1,26,5,7.786922955080807e-05,1.875116330427836e-05
2019-01-27,2019,1,27,6,4.5165817963159145e-05,3.929609199250242e-06
2019-01-28,2019,1,28,0,0.0001082275723852,1.675498589353334e-05
2019-01-29,2019,1,29,1,6.368713071607672e-05,5.838004955693092e-07
2019-01-30,2019,1,30,2,0.0001204528317904,4.6657539920341045e-05
2019-01-31,2019,1,31,3,0.0001633918822461,7.459993576223321e-05
2019-02-01,2019,2,1,4,0.0001174308463567,3.8497022270617006e-05
2019-02-02,2019,2,2,5,9.387406173456122e-05,1.4702005657613913e-05
2019-02-03,2019,2,3,6,4.791035861456348e-05,5.794796108176712e-06
2019-02-07,2019,2,7,3,8.248874655691907e-05,0.0
2019-02-08,2019,2,8,4,8.119650267013672e-05,3.232758745196328e-05
2019-02-09,2019,2,9,5,0.0001212522935127,4.329305580182816e-05
2019-02-10,2019,2,10,6,6.48099029281625e-05,1.2321448881841312e-05
2019-02-11,2019,2,11,0,9.426123956544376e-05,2.188907207922897e-05
2019-02-19,2019,2,19,1,7.294679303956181e-05,1.7214065861190296e-05
2019-02-20,2019,2,20,2,6.92165398846445e-05,9.965880194566969e-06
2019-02-21,2019,2,21,3,0.0001122125344551,1.0544759015065112e-05
2019-02-22,2019,2,22,4,0.0001064267902485,3.245901217230625e-05
2019-02-23,2019,2,23,5,4.071415395744944e-05,5.411135142994178e-06
2019-02-24,2019,2,24,6,3.605924148256618e-05,1.113353181585284e-05
2019-02-25,2019,2,25,0,9.002235893400653e-05,1.697124307166187e-05
2019-03-02,2019,3,2,5,4.235003179598865e-05,5.828823285029183e-06
2019-03-03,2019,3,3,6,4.547649461766367e-05,1.271095193392967e-05
2019-03-04,2019,3,4,0,3.773508797166869e-05,0.0
2019-03-05,2019,3,5,1,6.536964412533043e-05,1.1979306902461876e-05
2019-03-06,2019,3,6,2,0.0001079886847699,2.601526926812485e-05
2019-03-07,2019,3,7,3,0.0001151482644882,2.069613422710964e-05
2019-03-08,2019,3,8,4,9.165872777037104e-05,1.843237146088647e-05
2019-03-09,2019,3,9,5,8.76391018744562e-05,1.9172930373854965e-05
2019-03-10,2019,3,10,6,5.517330440796283e-05,1.99614640106486e-05
2019-03-13,2019,3,13,2,7.667909265477161e-05,9.873241730504756e-06
2019-03-14,2019,3,14,3,0.0001069936713907,2.551742214360384e-05
2019-03-18,2019,3,18,0,4.406686931899975e-05,5.601489981204315e-06
2019-03-19,2019,3,19,1,5.96581198324974e-05,1.6617319009432213e-05
2019-03-23,2019,3,23,5,9.40425971648355e-05,1.894756990826966e-05
2019-03-24,2019,3,24,6,5.89114434273961e-05,2.537204324842161e-05
2019-03-25,2019,3,25,0,0.0002163865576346,8.032519791945008e-05
2019-03-26,2019,3,26,1,0.0001154049632243,6.085958234467534e-05
2019-03-27,2019,3,27,2,7.636149493799576e-05,1.3096113209584798e-05
2019-03-29,2019,3,29,4,2.309042482849849e-05,8.815268054428309e-06
