Year,Month,NO2_trop_mean,N_days,SEM,Fecha_datetime
2018,7,0.00011506945220908049,28.0,1.0832956551202193e-05,2018-07-01
2018,8,0.00011163153996195381,16.0,1.0113448837133578e-05,2018-08-01
2018,9,7.37790291437046e-05,24.0,6.302439241330962e-06,2018-09-01
2018,10,6.43039274285128e-05,15.0,6.925929464271569e-06,2018-10-01
2018,11,5.867333961462071e-05,15.0,6.775821107648474e-06,2018-11-01
2018,12,6.1822349741003e-05,22.0,6.324946855812676e-06,2018-12-01
2019,1,6.910227023574154e-05,30.0,5.546001531341649e-06,2019-01-01
2019,2,8.00272608254594e-05,19.0,9.687640583447012e-06,2019-02-01
2019,3,5.561961975911118e-05,24.0,5.9662156708203455e-06,2019-03-01
2019,4,7.278777123829391e-05,27.0,5.846805285504926e-06,2019-04-01
2019,5,0.00010627716531281434,26.0,8.827081757221524e-06,2019-05-01
2019,6,0.0001100851992898321,24.0,1.0312114155190999e-05,2019-06-01
2019,7,9.599292066025741e-05,25.0,9.333309360213111e-06,2019-07-01
2019,8,8.318367531935832e-05,20.0,7.350572698502162e-06,2019-08-01
2019,9,8.955664370436913e-05,15.0,8.283935059721238e-06,2019-09-01
2019,10,6.508282840766797e-05,25.0,5.891140681246224e-06,2019-10-01
2019,11,5.688614355639242e-05,14.0,6.615498193289202e-06,2019-11-01
2019,12,5.2604204088395814e-05,20.0,5.799160898571614e-06,2019-12-01
2020,1,5.973604566533284e-05,20.0,5.862307860470966e-06,2020-01-01
2020,2,5.2960262099770105e-05,15.0,5.373231194832095e-06,2020-02-01
2020,3,4.0041323980057725e-05,24.0,3.671926259131838e-06,2020-03-01
2020,4,4.4344265755465724e-05,19.0,3.598029471780643e-06,2020-04-01
2020,5,4.7287703166073494e-05,24.0,4.054565528708671e-06,2020-05-01
2020,6,7.74703964596567e-05,24.0,6.083695447362051e-06,2020-06-01
2020,7,7.514709062949629e-05,23.0,7.886694695245274e-06,2020-07-01
2020,8,6.496105142847777e-05,25.0,5.449416226278615e-06,2020-08-01
2020,9,6.602716825246449e-05,23.0,5.590294723880086e-06,2020-09-01
2020,10,5.3704563195793346e-05,19.0,4.492509417676333e-06,2020-10-01
2020,11,4.116071165297397e-05,15.0,4.246509962756757e-06,2020-11-01
