Year,Month,NO2_trop_mean,N_days,SEM,Fecha_datetime
2018,7,0.00012456377504753234,10.0,1.4045214531804514e-05,2018-07-01
2018,8,0.00013943825544009833,20.0,1.1064361622201143e-05,2018-08-01
2018,9,9.075048693520293e-05,23.0,6.83146140605222e-06,2018-09-01
2018,10,0.00011679130078016466,19.0,1.0214684556770579e-05,2018-10-01
2018,11,8.869964364951532e-05,20.0,6.924906466510149e-06,2018-11-01
2018,12,7.8389931715865e-05,23.0,7.223729218093643e-06,2018-12-01
2019,1,7.575586813749713e-05,19.0,7.548968660026106e-06,2019-01-01
2019,2,0.00011209252748054996,23.0,9.302748766383245e-06,2019-02-01
2019,3,8.875939990335736e-05,26.0,6.274451628057288e-06,2019-03-01
2019,4,0.00013296092024361574,22.0,1.0965769634167108e-05,2019-04-01
2019,5,0.00010702227545554616,22.0,7.677164989761932e-06,2019-05-01
2019,6,0.00013055421236778713,12.0,1.6063777350052087e-05,2019-06-01
2019,7,0.00016728503447832832,20.0,1.1857209989240248e-05,2019-07-01
2019,8,0.00015419779545567525,22.0,1.2167535647988493e-05,2019-08-01
2019,9,0.0001335373639633238,24.0,1.2144361510143682e-05,2019-09-01
2019,10,9.087960096143907e-05,16.0,7.603820927082438e-06,2019-10-01
2019,11,8.703186389598178e-05,24.0,6.769696765561959e-06,2019-11-01
2019,12,9.917012905702238e-05,23.0,8.694702480449678e-06,2019-12-01
2020,1,8.098044106142569e-05,26.0,5.84681713669198e-06,2020-01-01
2020,2,8.462040248763611e-05,25.0,7.101957615555519e-06,2020-02-01
2020,3,8.720362031813767e-05,24.0,7.906033994476698e-06,2020-03-01
2020,4,5.8173797165423285e-05,24.0,3.876756536684158e-06,2020-04-01
2020,5,8.831779125904235e-05,25.0,6.755736647425812e-06,2020-05-01
2020,6,0.00013670148947155273,22.0,9.034047180725674e-06,2020-06-01
2020,7,0.00013389914088737464,23.0,8.823602864924308e-06,2020-07-01
2020,8,8.319100202183986e-05,22.0,5.853878741280604e-06,2020-08-01
2020,9,0.0001176978530014022,23.0,1.2302774486228032e-05,2020-09-01
2020,10,0.00010501919993871705,23.0,8.171051613608202e-06,2020-10-01
2020,11,8.632602186329527e-05,24.0,6.872852660707006e-06,2020-11-01
