country_region_code,country_region,region,date,tipo,value
AR,Argentina,Buenos Aires,2020-04-12,retail_and_recreation,-89
AR,Argentina,Buenos Aires,2020-04-13,retail_and_recreation,-88
AR,Argentina,Buenos Aires,2020-04-14,retail_and_recreation,-86
AR,Argentina,Buenos Aires,2020-04-15,retail_and_recreation,-86
AR,Argentina,Buenos Aires,2020-04-16,retail_and_recreation,-88
AR,Argentina,Buenos Aires,2020-04-17,retail_and_recreation,-87
AR,Argentina,Buenos Aires,2020-04-18,retail_and_recreation,-89
AR,Argentina,Buenos Aires,2020-04-19,retail_and_recreation,-90
AR,Argentina,Buenos Aires,2020-04-20,retail_and_recreation,-87
AR,Argentina,Buenos Aires,2020-04-21,retail_and_recreation,-87
AR,Argentina,Buenos Aires,2020-04-22,retail_and_recreation,-88
AR,Argentina,Buenos Aires,2020-04-23,retail_and_recreation,-88
AR,Argentina,Buenos Aires,2020-04-24,retail_and_recreation,-88
AR,Argentina,Buenos Aires,2020-04-25,retail_and_recreation,-90
AR,Argentina,Buenos Aires,2020-04-26,retail_and_recreation,-88
AR,Argentina,Buenos Aires,2020-04-27,retail_and_recreation,-87
AR,Argentina,Buenos Aires,2020-04-28,retail_and_recreation,-89
AR,Argentina,Buenos Aires,2020-04-29,retail_and_recreation,-84
AR,Argentina,Buenos Aires,2020-04-30,retail_and_recreation,-82
AR,Argentina,Buenos Aires,2020-05-01,retail_and_recreation,-92
AR,Argentina,Buenos Aires,2020-05-02,retail_and_recreation,-84
AR,Argentina,Buenos Aires,2020-05-03,retail_and_recreation,-87
AR,Argentina,Buenos Aires,2020-05-04,retail_and_recreation,-84
AR,Argentina,Buenos Aires,2020-05-05,retail_and_recreation,-82
AR,Argentina,Buenos Aires,2020-05-06,retail_and_recreation,-82
AR,Argentina,Buenos Aires,2020-05-07,retail_and_recreation,-81
AR,Argentina,Buenos Aires,2020-05-08,retail_and_recreation,-81
AR,Argentina,Buenos Aires,2020-05-09,retail_and_recreation,-82
AR,Argentina,Buenos Aires,2020-05-10,retail_and_recreation,-84
AR,Argentina,Buenos Aires,2020-05-11,retail_and_recreation,-80
AR,Argentina,Buenos Aires,2020-05-12,retail_and_recreation,-79
AR,Argentina,Buenos Aires,2020-05-13,retail_and_recreation,-79
AR,Argentina,Buenos Aires,2020-05-14,retail_and_recreation,-79
AR,Argentina,Buenos Aires,2020-05-15,retail_and_recreation,-79
AR,Argentina,Buenos Aires,2020-05-16,retail_and_recreation,-79
AR,Argentina,Buenos Aires,2020-05-17,retail_and_recreation,-81
AR,Argentina,Buenos Aires,2020-05-18,retail_and_recreation,-77
AR,Argentina,Buenos Aires,2020-05-19,retail_and_recreation,-77
AR,Argentina,Buenos Aires,2020-05-20,retail_and_recreation,-77
AR,Argentina,Buenos Aires,2020-05-21,retail_and_recreation,-79
AR,Argentina,Buenos Aires,2020-05-22,retail_and_recreation,-78
AR,Argentina,Buenos Aires,2020-05-23,retail_and_recreation,-78
AR,Argentina,Buenos Aires,2020-05-24,retail_and_recreation,-81
AR,Argentina,Buenos Aires,2020-05-25,retail_and_recreation,-88
AR,Argentina,Buenos Aires,2020-05-26,retail_and_recreation,-77
AR,Argentina,Buenos Aires,2020-05-27,retail_and_recreation,-77
AR,Argentina,Buenos Aires,2020-05-28,retail_and_recreation,-77
AR,Argentina,Buenos Aires,2020-05-29,retail_and_recreation,-77
AR,Argentina,Buenos Aires,2020-05-30,retail_and_recreation,-80
AR,Argentina,Buenos Aires,2020-05-31,retail_and_recreation,-81
AR,Argentina,Buenos Aires,2020-06-01,retail_and_recreation,-77
AR,Argentina,Buenos Aires,2020-06-02,retail_and_recreation,-76
AR,Argentina,Buenos Aires,2020-06-03,retail_and_recreation,-76
AR,Argentina,Buenos Aires,2020-06-04,retail_and_recreation,-77
AR,Argentina,Buenos Aires,2020-06-05,retail_and_recreation,-76
AR,Argentina,Buenos Aires,2020-06-06,retail_and_recreation,-78
AR,Argentina,Buenos Aires,2020-06-07,retail_and_recreation,-80
AR,Argentina,Buenos Aires,2020-06-08,retail_and_recreation,-73
AR,Argentina,Buenos Aires,2020-06-09,retail_and_recreation,-73
AR,Argentina,Buenos Aires,2020-06-10,retail_and_recreation,-72
AR,Argentina,Buenos Aires,2020-06-11,retail_and_recreation,-73
AR,Argentina,Buenos Aires,2020-06-12,retail_and_recreation,-72
AR,Argentina,Buenos Aires,2020-06-13,retail_and_recreation,-75
AR,Argentina,Buenos Aires,2020-06-14,retail_and_recreation,-76
AR,Argentina,Buenos Aires,2020-06-15,retail_and_recreation,-84
AR,Argentina,Buenos Aires,2020-06-16,retail_and_recreation,-70
AR,Argentina,Buenos Aires,2020-06-17,retail_and_recreation,-72
AR,Argentina,Buenos Aires,2020-06-18,retail_and_recreation,-73
AR,Argentina,Buenos Aires,2020-06-19,retail_and_recreation,-72
AR,Argentina,Buenos Aires,2020-06-20,retail_and_recreation,-74
AR,Argentina,Buenos Aires,2020-06-21,retail_and_recreation,-76
AR,Argentina,Buenos Aires,2020-06-22,retail_and_recreation,-74
AR,Argentina,Buenos Aires,2020-06-23,retail_and_recreation,-74
AR,Argentina,Buenos Aires,2020-06-24,retail_and_recreation,-73
AR,Argentina,Buenos Aires,2020-06-25,retail_and_recreation,-73
AR,Argentina,Buenos Aires,2020-06-26,retail_and_recreation,-72
AR,Argentina,Buenos Aires,2020-06-27,retail_and_recreation,-73
AR,Argentina,Buenos Aires,2020-06-28,retail_and_recreation,-76
AR,Argentina,Buenos Aires,2020-06-29,retail_and_recreation,-71
AR,Argentina,Buenos Aires,2020-06-30,retail_and_recreation,-74
AR,Argentina,Buenos Aires,2020-07-01,retail_and_recreation,-80
AR,Argentina,Buenos Aires,2020-07-02,retail_and_recreation,-80
AR,Argentina,Buenos Aires,2020-07-03,retail_and_recreation,-78
AR,Argentina,Buenos Aires,2020-07-04,retail_and_recreation,-77
AR,Argentina,Buenos Aires,2020-07-05,retail_and_recreation,-77
AR,Argentina,Buenos Aires,2020-07-06,retail_and_recreation,-76
AR,Argentina,Buenos Aires,2020-07-07,retail_and_recreation,-76
AR,Argentina,Buenos Aires,2020-07-08,retail_and_recreation,-73
AR,Argentina,Buenos Aires,2020-07-09,retail_and_recreation,-84
AR,Argentina,Buenos Aires,2020-07-10,retail_and_recreation,-84
AR,Argentina,Buenos Aires,2020-07-11,retail_and_recreation,-76
AR,Argentina,Buenos Aires,2020-07-12,retail_and_recreation,-79
AR,Argentina,Buenos Aires,2020-07-13,retail_and_recreation,-75
AR,Argentina,Buenos Aires,2020-07-14,retail_and_recreation,-74
AR,Argentina,Buenos Aires,2020-07-15,retail_and_recreation,-74
AR,Argentina,Buenos Aires,2020-07-16,retail_and_recreation,-76
AR,Argentina,Buenos Aires,2020-07-17,retail_and_recreation,-74
AR,Argentina,Buenos Aires,2020-07-18,retail_and_recreation,-76
AR,Argentina,Buenos Aires,2020-07-19,retail_and_recreation,-73
AR,Argentina,Buenos Aires,2020-07-20,retail_and_recreation,-69
AR,Argentina,Buenos Aires,2020-07-21,retail_and_recreation,-72
AR,Argentina,Buenos Aires,2020-07-22,retail_and_recreation,-73
AR,Argentina,Buenos Aires,2020-07-23,retail_and_recreation,-76
AR,Argentina,Buenos Aires,2020-07-24,retail_and_recreation,-72
AR,Argentina,Buenos Aires,2020-07-25,retail_and_recreation,-70
AR,Argentina,Buenos Aires,2020-07-26,retail_and_recreation,-72
AR,Argentina,Buenos Aires,2020-07-27,retail_and_recreation,-70
AR,Argentina,Buenos Aires,2020-07-28,retail_and_recreation,-69
AR,Argentina,Buenos Aires,2020-07-29,retail_and_recreation,-68
AR,Argentina,Buenos Aires,2020-07-30,retail_and_recreation,-70
AR,Argentina,Buenos Aires,2020-07-31,retail_and_recreation,-69
AR,Argentina,Buenos Aires,2020-08-01,retail_and_recreation,-67
AR,Argentina,Buenos Aires,2020-08-02,retail_and_recreation,-71
AR,Argentina,Buenos Aires,2020-08-03,retail_and_recreation,-66
AR,Argentina,Buenos Aires,2020-08-04,retail_and_recreation,-65
AR,Argentina,Buenos Aires,2020-08-05,retail_and_recreation,-65
AR,Argentina,Buenos Aires,2020-08-06,retail_and_recreation,-69
AR,Argentina,Buenos Aires,2020-08-07,retail_and_recreation,-70
AR,Argentina,Buenos Aires,2020-08-08,retail_and_recreation,-67
AR,Argentina,Buenos Aires,2020-08-09,retail_and_recreation,-74
AR,Argentina,Buenos Aires,2020-08-10,retail_and_recreation,-63
AR,Argentina,Buenos Aires,2020-08-11,retail_and_recreation,-63
AR,Argentina,Buenos Aires,2020-08-12,retail_and_recreation,-63
AR,Argentina,Buenos Aires,2020-08-13,retail_and_recreation,-64
AR,Argentina,Buenos Aires,2020-08-14,retail_and_recreation,-62
AR,Argentina,Buenos Aires,2020-08-15,retail_and_recreation,-60
AR,Argentina,Buenos Aires,2020-08-16,retail_and_recreation,-63
AR,Argentina,Buenos Aires,2020-08-17,retail_and_recreation,-76
AR,Argentina,Buenos Aires,2020-08-18,retail_and_recreation,-63
AR,Argentina,Buenos Aires,2020-08-19,retail_and_recreation,-67
AR,Argentina,Buenos Aires,2020-08-20,retail_and_recreation,-67
AR,Argentina,Buenos Aires,2020-08-21,retail_and_recreation,-64
AR,Argentina,Buenos Aires,2020-08-22,retail_and_recreation,-62
AR,Argentina,Buenos Aires,2020-08-23,retail_and_recreation,-67
AR,Argentina,Buenos Aires,2020-08-24,retail_and_recreation,-62
AR,Argentina,Buenos Aires,2020-08-25,retail_and_recreation,-65
AR,Argentina,Buenos Aires,2020-08-26,retail_and_recreation,-68
AR,Argentina,Buenos Aires,2020-08-27,retail_and_recreation,-64
AR,Argentina,Buenos Aires,2020-08-28,retail_and_recreation,-64
AR,Argentina,Buenos Aires,2020-08-29,retail_and_recreation,-67
AR,Argentina,Buenos Aires,2020-08-30,retail_and_recreation,-64
AR,Argentina,Buenos Aires,2020-08-31,retail_and_recreation,-62
AR,Argentina,Buenos Aires,2020-09-01,retail_and_recreation,-64
AR,Argentina,Buenos Aires,2020-09-02,retail_and_recreation,-73
AR,Argentina,Buenos Aires,2020-09-03,retail_and_recreation,-63
AR,Argentina,Buenos Aires,2020-09-04,retail_and_recreation,-59
AR,Argentina,Buenos Aires,2020-09-05,retail_and_recreation,-57
AR,Argentina,Buenos Aires,2020-09-06,retail_and_recreation,-63
AR,Argentina,Buenos Aires,2020-09-07,retail_and_recreation,-59
AR,Argentina,Buenos Aires,2020-09-08,retail_and_recreation,-58
AR,Argentina,Buenos Aires,2020-09-09,retail_and_recreation,-61
AR,Argentina,Buenos Aires,2020-09-10,retail_and_recreation,-60
AR,Argentina,Buenos Aires,2020-09-11,retail_and_recreation,-58
AR,Argentina,Buenos Aires,2020-09-12,retail_and_recreation,-56
AR,Argentina,Buenos Aires,2020-09-13,retail_and_recreation,-59
AR,Argentina,Buenos Aires,2020-09-14,retail_and_recreation,-58
AR,Argentina,Buenos Aires,2020-09-15,retail_and_recreation,-59
AR,Argentina,Buenos Aires,2020-09-16,retail_and_recreation,-58
AR,Argentina,Buenos Aires,2020-09-17,retail_and_recreation,-59
AR,Argentina,Buenos Aires,2020-09-18,retail_and_recreation,-57
AR,Argentina,Buenos Aires,2020-09-19,retail_and_recreation,-57
AR,Argentina,Buenos Aires,2020-09-20,retail_and_recreation,-58
AR,Argentina,Buenos Aires,2020-09-21,retail_and_recreation,-56
AR,Argentina,Buenos Aires,2020-09-22,retail_and_recreation,-59
AR,Argentina,Buenos Aires,2020-09-23,retail_and_recreation,-60
AR,Argentina,Buenos Aires,2020-09-24,retail_and_recreation,-62
AR,Argentina,Buenos Aires,2020-09-25,retail_and_recreation,-64
AR,Argentina,Buenos Aires,2020-09-26,retail_and_recreation,-67
AR,Argentina,Buenos Aires,2020-09-27,retail_and_recreation,-72
AR,Argentina,Buenos Aires,2020-09-28,retail_and_recreation,-61
AR,Argentina,Buenos Aires,2020-09-29,retail_and_recreation,-57
AR,Argentina,Buenos Aires,2020-09-30,retail_and_recreation,-57
AR,Argentina,Buenos Aires,2020-10-01,retail_and_recreation,-61
AR,Argentina,Buenos Aires,2020-10-02,retail_and_recreation,-58
AR,Argentina,Buenos Aires,2020-10-03,retail_and_recreation,-58
AR,Argentina,Buenos Aires,2020-10-04,retail_and_recreation,-67
AR,Argentina,Buenos Aires,2020-10-05,retail_and_recreation,-58
AR,Argentina,Buenos Aires,2020-10-06,retail_and_recreation,-55
AR,Argentina,Buenos Aires,2020-10-07,retail_and_recreation,-55
AR,Argentina,Buenos Aires,2020-10-08,retail_and_recreation,-57
AR,Argentina,Buenos Aires,2020-10-09,retail_and_recreation,-54
AR,Argentina,Buenos Aires,2020-10-10,retail_and_recreation,-50
AR,Argentina,Buenos Aires,2020-10-11,retail_and_recreation,-60
AR,Argentina,Buenos Aires,2020-10-12,retail_and_recreation,-67
AR,Argentina,Buenos Aires,2020-10-13,retail_and_recreation,-54
AR,Argentina,Buenos Aires,2020-10-14,retail_and_recreation,-52
AR,Argentina,Buenos Aires,2020-10-15,retail_and_recreation,-55
AR,Argentina,Buenos Aires,2020-10-16,retail_and_recreation,-50
AR,Argentina,Buenos Aires,2020-10-17,retail_and_recreation,-49
AR,Argentina,Buenos Aires,2020-10-18,retail_and_recreation,-53
AR,Argentina,Buenos Aires,2020-10-19,retail_and_recreation,-63
AR,Argentina,Buenos Aires,2020-10-20,retail_and_recreation,-61
AR,Argentina,Buenos Aires,2020-10-21,retail_and_recreation,-60
AR,Argentina,Buenos Aires,2020-10-22,retail_and_recreation,-65
AR,Argentina,Buenos Aires,2020-10-23,retail_and_recreation,-53
AR,Argentina,Buenos Aires,2020-10-24,retail_and_recreation,-47
AR,Argentina,Buenos Aires,2020-10-25,retail_and_recreation,-69
AR,Argentina,Buenos Aires,2020-10-26,retail_and_recreation,-52
AR,Argentina,Buenos Aires,2020-10-27,retail_and_recreation,-50
AR,Argentina,Buenos Aires,2020-10-28,retail_and_recreation,-57
AR,Argentina,Buenos Aires,2020-10-29,retail_and_recreation,-54
AR,Argentina,Buenos Aires,2020-10-30,retail_and_recreation,-50
AR,Argentina,Buenos Aires,2020-10-31,retail_and_recreation,-44
AR,Argentina,Buenos Aires,2020-11-01,retail_and_recreation,-47
AR,Argentina,Buenos Aires,2020-11-02,retail_and_recreation,-52
AR,Argentina,Buenos Aires,2020-11-03,retail_and_recreation,-49
AR,Argentina,Buenos Aires,2020-11-04,retail_and_recreation,-49
AR,Argentina,Buenos Aires,2020-11-05,retail_and_recreation,-50
AR,Argentina,Buenos Aires,2020-11-06,retail_and_recreation,-47
