country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-02-15,2,1,1,2,0,-1
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-02-16,1,1,-2,1,0,0
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-02-17,1,1,1,1,1,0
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-02-18,0,0,1,0,2,0
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-02-19,0,-1,-2,-1,1,1
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-02-20,0,-1,-1,1,1,0
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-02-21,-1,-1,0,0,1,0
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-02-22,-1,-2,0,2,1,0
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-02-23,-2,-2,-2,-3,0,0
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-02-24,-1,-2,0,0,0,0
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-02-25,0,-1,-1,-2,0,0
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-02-26,1,-1,0,-3,0,0
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-02-27,0,-1,-1,1,0,0
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-02-28,3,1,-2,0,1,0
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-02-29,5,5,4,7,2,-1
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-01,7,8,-2,3,2,-1
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-02,3,5,0,1,2,0
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-03,4,4,-1,2,2,0
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-04,3,4,-4,2,2,0
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-05,1,5,-2,1,3,0
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-06,1,2,-2,3,4,0
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-07,2,2,2,6,2,0
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-08,6,7,-5,-1,3,1
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-09,-2,3,-2,1,2,1
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-10,-2,3,-4,0,2,0
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-11,-5,2,-5,-2,1,1
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-12,-8,6,-11,-7,-1,3
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-13,-10,2,-11,-8,-3,4
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-14,-13,1,-14,-10,-3,5
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-15,-21,17,-28,-18,-1,6
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-16,-57,-5,-52,-51,-52,25
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-17,-81,-46,-74,-77,-76,39
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-18,-84,-54,-79,-83,-79,42
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-19,-87,-61,-82,-84,-82,45
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-20,-88,-62,-84,-85,-82,47
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-21,-88,-62,-84,-85,-77,38
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-22,-87,-62,-84,-83,-64,29
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-23,-86,-62,-82,-85,-82,44
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-24,-87,-62,-82,-86,-82,44
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-25,-86,-61,-82,-86,-82,44
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-26,-86,-58,-82,-85,-82,44
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-27,-85,-58,-82,-83,-81,46
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-28,-86,-57,-82,-82,-74,37
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-29,-85,-58,-83,-82,-62,29
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-30,-83,-58,-79,-82,-80,42
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-03-31,-84,-57,-81,-84,-80,42
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-04-01,-85,-57,-81,-84,-81,44
PE,Peru,Lima Province,"",,PE-LMA,,ChIJSRRF8k7BBZERGaqtInjbr-s,2020-04-02,-85,-56,-82,-84,-81,44
