country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-02-15,9,9,11,3,9,-1
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-02-16,3,8,11,2,3,1
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-02-17,1,5,3,6,16,-2
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-02-18,0,6,5,13,20,-2
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-02-19,-5,-2,1,8,13,-2
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-02-20,-4,-3,-4,0,8,-1
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-02-21,-2,1,3,12,15,-1
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-02-22,-1,-1,2,3,7,0
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-02-23,-12,-8,-16,-7,-2,3
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-02-24,-4,-1,-2,11,16,-1
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-02-25,-4,1,-2,15,20,-1
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-02-26,-4,0,1,13,13,-2
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-02-27,-2,0,-2,6,13,-3
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-02-28,7,10,8,14,20,-3
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-02-29,12,12,8,8,10,-2
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-01,11,17,13,6,3,0
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-02,5,8,3,14,18,-3
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-03,6,12,4,20,22,-3
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-04,2,8,7,12,15,-3
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-05,5,9,9,9,14,-4
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-06,4,8,10,17,21,-3
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-07,4,5,6,4,10,0
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-08,4,4,-2,2,2,2
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-09,-1,3,-1,10,17,-2
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-10,-4,1,-4,20,21,-2
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-11,-5,3,0,13,13,-2
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-12,-6,5,-1,4,12,-2
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-13,-6,5,-3,9,16,-1
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-14,-6,9,-3,-3,9,3
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-15,-16,9,-14,-12,0,5
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-16,-15,12,-16,-14,-3,7
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-17,-19,20,-12,-16,-11,11
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-18,-24,27,-15,-26,-22,12
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-19,-22,29,-9,-26,-27,10
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-20,-90,-76,-83,-81,-80,47
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-21,-87,-58,-81,-80,-73,36
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-22,-88,-67,-83,-78,-59,27
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-23,-89,-68,-81,-86,-87,45
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-24,-75,-43,-65,-67,-69,36
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-25,-84,-63,-77,-80,-79,42
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-26,-83,-59,-75,-81,-80,42
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-27,-84,-58,-76,-81,-78,46
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-28,-85,-62,-77,-81,-71,36
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-29,-87,-69,-82,-82,-61,28
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-30,-81,-56,-73,-80,-78,41
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-03-31,-79,-51,-71,-78,-77,41
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-01,-79,-51,-72,-79,-78,41
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-02,-78,-48,-69,-79,-78,40
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-03,-80,-49,-70,-79,-76,44
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-04,-83,-55,-73,-79,-69,35
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-05,-85,-64,-79,-81,-59,27
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-06,-78,-50,-69,-78,-77,40
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-07,-77,-44,-66,-76,-76,40
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-08,-77,-41,-66,-77,-78,39
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-09,-87,-62,-76,-86,-87,45
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-10,-92,-78,-84,-90,-89,52
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-11,-85,-61,-75,-81,-72,36
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-12,-86,-66,-80,-81,-58,27
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-13,-78,-55,-69,-79,-75,40
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-14,-79,-55,-71,-79,-75,41
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-15,-77,-48,-66,-77,-75,40
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-16,-79,-55,-70,-80,-76,40
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-17,-77,-46,-66,-76,-73,43
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-18,-83,-61,-72,-78,-65,34
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-19,-83,-63,-76,-78,-54,26
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-20,-79,-58,-69,-78,-73,39
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-21,-76,-50,-66,-74,-71,39
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-22,-79,-58,-70,-77,-74,40
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-23,-76,-51,-65,-75,-73,38
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-24,-79,-54,-68,-75,-71,42
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-25,-78,-53,-67,-73,-60,32
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-26,-82,-63,-75,-75,-52,25
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-27,-72,-49,-61,-73,-67,36
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-28,-74,-50,-63,-72,-67,32
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-29,-72,-47,-60,-72,-68,36
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-04-30,-72,-46,-59,-73,-68,35
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-05-01,-80,-51,-67,-78,-80,45
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-05-02,-76,-50,-63,-71,-56,31
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-05-03,-78,-56,-71,-72,-47,24
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-05-04,-70,-46,-58,-71,-64,35
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-05-05,-65,-36,-53,-66,-62,35
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-05-06,-70,-43,-57,-69,-65,35
CO,Colombia,Bogota,"",,CO-DC,,ChIJZ0-SYJsAP44RBHEcWTjKX1U,2020-05-07,-66,-37,-52,-67,-64,34
