country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-02-15,13,10,40,18,7,-2
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-02-16,7,8,43,13,0,0
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-02-17,-1,1,0,11,15,-2
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-02-18,-1,-2,-1,11,14,-2
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-02-19,-2,0,3,11,13,-2
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-02-20,4,13,6,13,14,-3
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-02-21,1,11,4,13,15,-2
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-02-22,-4,4,17,3,-3,0
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-02-23,-4,-2,45,-2,-2,1
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-02-24,-16,-12,18,-35,-53,12
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-02-25,-34,-25,17,-46,-66,14
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-02-26,-23,-7,-39,-19,-15,7
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-02-27,-6,9,-12,5,10,1
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-02-28,-2,7,-7,7,14,0
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-02-29,7,13,13,6,6,2
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-01,0,11,14,-2,0,4
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-02,-4,1,-18,10,15,-1
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-03,-3,4,-11,8,12,-1
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-04,-1,5,-2,10,14,-2
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-05,5,12,9,14,15,-2
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-06,10,15,24,17,19,-3
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-07,16,20,19,16,8,-1
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-08,6,13,26,6,2,1
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-09,3,9,2,14,16,-2
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-10,3,6,-1,11,15,-2
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-11,2,6,6,12,14,-2
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-12,3,12,10,13,14,-2
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-13,1,12,14,11,16,-2
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-14,-2,15,7,2,6,1
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-15,-14,13,21,-7,0,2
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-16,-15,9,-15,-8,3,3
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-17,-24,10,-27,-21,-6,7
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-18,-31,13,-24,-27,-13,9
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-19,-36,16,-31,-34,-21,12
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-20,-54,4,-35,-42,-29,17
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-21,-68,-11,-66,-52,-35,18
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-22,-73,-26,-67,-59,-35,17
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-23,-68,-21,-62,-61,-50,23
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-24,-75,-30,-67,-67,-58,27
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-25,-75,-28,-64,-66,-60,28
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-26,-74,-25,-60,-66,-59,27
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-27,-73,-24,-56,-64,-57,28
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-28,-74,-24,-63,-61,-47,20
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-29,-76,-38,-69,-64,-41,18
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-30,-70,-28,-60,-64,-57,25
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-03-31,-69,-23,-61,-64,-58,25
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-01,-68,-20,-55,-63,-57,26
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-02,-69,-19,-54,-63,-58,26
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-03,-72,-18,-54,-61,-55,27
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-04,-71,-13,-58,-56,-43,19
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-05,-73,-26,-57,-57,-36,16
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-06,-69,-18,-55,-59,-53,24
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-07,-68,-14,-60,-60,-55,24
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-08,-67,-8,-57,-59,-54,24
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-09,-62,12,-48,-56,-53,22
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-10,-80,-29,-63,-75,-78,33
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-11,-68,-10,-63,-56,-44,19
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-12,-73,-24,-63,-57,-33,15
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-13,-69,-24,-57,-60,-53,23
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-14,-69,-25,-60,-62,-54,25
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-15,-68,-20,-54,-60,-53,25
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-16,-67,-16,-51,-60,-53,24
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-17,-68,-16,-50,-58,-51,25
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-18,-67,-13,-58,-54,-37,18
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-19,-71,-23,-55,-56,-32,16
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-20,-65,-16,-55,-61,-58,24
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-21,-76,-35,-61,-75,-76,30
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-22,-66,-18,-52,-58,-50,23
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-23,-66,-14,-49,-58,-50,23
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-24,-66,-17,-46,-56,-48,24
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-25,-66,-13,-52,-52,-34,17
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-26,-70,-23,-54,-55,-29,15
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-27,-66,-22,-53,-58,-48,22
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-28,-65,-20,-52,-58,-49,23
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-29,-65,-17,-48,-57,-48,23
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-04-30,-60,0,-43,-54,-48,20
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-01,-76,-25,-55,-72,-73,31
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-02,-67,-11,-60,-55,-37,18
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-03,-70,-22,-57,-56,-28,15
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-04,-65,-17,-52,-56,-47,21
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-05,-64,-13,-51,-57,-48,22
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-06,-65,-14,-53,-56,-48,23
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-07,-63,-3,-54,-56,-49,23
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-08,-62,1,-45,-52,-45,23
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-09,-59,9,-52,-45,-30,16
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-10,-64,-5,-57,-49,-15,13
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-11,-68,-22,-55,-55,-48,23
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-12,-66,-19,-54,-55,-49,23
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-13,-66,-20,-52,-55,-49,24
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-14,-66,-18,-55,-56,-49,24
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-15,-66,-14,-51,-54,-47,25
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-16,-65,-10,-55,-48,-30,18
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-17,-69,-20,-54,-53,-22,16
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-18,-63,-19,-52,-56,-46,22
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-19,-61,-13,-51,-56,-46,22
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-20,-67,-16,-51,-63,-57,26
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-21,-67,-12,-51,-63,-59,26
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-22,-64,-9,-44,-55,-49,24
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-23,-66,-11,-62,-52,-30,18
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-24,-70,-20,-61,-56,-23,16
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-25,-69,-21,-59,-66,-62,27
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-26,-62,-13,-52,-55,-44,21
BR,Brazil,State of São Paulo,São Paulo,,"",,ChIJ9cXwmIFEzpQR7-ebZCySXMo,2020-05-27,-62,-11,-47,-54,-45,22
