Y,M,D,pp24,V_mag_vectorial,T,V_mag,Td
2018,01,01,0.0,7.463817282547648,22.262500000000003,9.291666666666666,13.166666666666666
2018,01,02,0.0,2.140014172233705,25.587499999999995,6.625,14.849999999999996
2018,01,03,0.0,3.172822212481168,26.11666666666667,8.083333333333334,11.800000000000002
2018,01,04,0.0,10.412254137170839,29.379166666666663,12.25,15.495833333333335
2018,01,05,15.0,2.216049494596183,24.074999999999992,9.833333333333334,17.645833333333336
2018,01,06,1.0,3.422560322352097,21.166666666666668,6.958333333333333,11.862499999999999
2018,01,07,0.0,10.654835738273993,25.279166666666665,11.541666666666666,11.908333333333333
2018,01,08,0.0,8.264402489044212,27.995833333333334,8.666666666666666,13.924999999999999
2018,01,09,0.0,8.473884614420173,27.254166666666663,10.041666666666666,16.050000000000004
2018,01,10,0.0,6.417196616427527,28.016666666666666,7.583333333333333,20.45833333333334
2018,01,11,0.0,5.647906156651355,31.07083333333333,7.5,20.379166666666666
2018,01,12,0.0,4.898256165236541,29.51666666666667,11.583333333333334,20.991666666666664
2018,01,13,0.0,3.5078492155118877,25.683333333333334,7.208333333333333,20.433333333333334
2018,01,14,16.2,14.801936459583896,18.970833333333335,15.333333333333334,16.99166666666666
2018,01,15,0.2,5.03091185812633,20.666666666666664,9.166666666666666,16.7
2018,01,16,0.0,6.60363175630253,24.54583333333333,7.875,17.579166666666666
2018,01,17,0.0,1.9014478226079978,25.40416666666667,7.291666666666667,19.833333333333332
2018,01,18,0.0,0.4239953663801121,25.275000000000002,6.166666666666667,18.116666666666664
2018,01,19,1.0,0.9723576780498521,27.329166666666662,5.5,18.012500000000003
2018,01,20,0.0,6.741711709166589,26.72083333333333,7.625,17.0125
2018,01,21,0.0,6.4945633466216375,28.179166666666664,8.25,19.558333333333337
2018,01,22,0.0,3.952029719819526,26.79166666666666,5.083333333333333,21.65833333333333
2018,01,23,0.8,0.663158019782155,27.400000000000002,6.666666666666667,21.008333333333333
2018,01,24,6.0,10.43020738246775,23.10416666666666,13.083333333333334,15.204166666666667
2018,01,25,0.0,9.989591451964897,20.112499999999997,10.875,12.174999999999999
2018,01,26,0.0,9.747059130013302,23.804166666666664,12.333333333333334,15.625000000000002
2018,01,27,0.0,8.318956211970592,25.291666666666668,11.208333333333334,18.979166666666664
2018,01,28,0.0,2.8120381349068047,26.07083333333333,7.0,18.654166666666665
2018,01,29,0.0,8.124779866403603,24.900000000000002,9.291666666666666,12.562500000000002
2018,01,30,0.0,9.96037741958122,25.587500000000002,11.791666666666666,16.216666666666665
2018,01,31,0.0,6.294301024750374,27.60833333333333,7.5,19.3125
2018,02,01,0.0,4.422272395462557,27.29166666666667,5.916666666666667,20.041666666666668
2018,02,02,0.0,3.536505933773907,27.90833333333333,5.416666666666667,19.750000000000004
2018,02,03,0.0,6.528597072328212,24.766666666666666,8.0,15.920833333333329
2018,02,04,0.0,8.12423640883022,25.825,10.416666666666666,18.7375
2018,02,05,0.0,7.414710560508152,27.354166666666668,8.583333333333334,19.070833333333336
2018,02,06,0.0,3.9569754647340116,27.999999999999996,5.291666666666667,19.708333333333332
2018,02,07,0.0,6.6630325743271825,28.9375,7.666666666666667,19.895833333333332
2018,02,08,0.0,7.475624893308345,30.829166666666662,8.5,20.583333333333332
2018,02,09,17.0,1.0622280150244472,26.399999999999995,9.833333333333334,19.666666666666668
2018,02,10,0.0,3.5416486651919956,24.49166666666667,7.666666666666667,16.170833333333334
2018,02,11,9.0,12.150127346735601,19.779166666666665,13.25,11.254166666666668
2018,02,12,0.0,4.127700592669688,17.970833333333335,6.791666666666667,7.241666666666667
2018,02,13,0.0,5.096708565279396,20.770833333333332,5.833333333333333,10.104166666666664
2018,02,14,0.0,6.9448245291207895,23.59583333333333,8.25,13.070833333333333
2018,02,15,0.0,8.24665723677799,25.162499999999998,10.583333333333334,17.091666666666665
2018,02,16,0.0,10.506760906012428,26.337500000000006,12.041666666666666,18.61666666666667
2018,02,17,0.0,8.679597955264674,26.845833333333335,9.333333333333334,19.47083333333333
2018,02,18,0.0,10.015453136612644,28.59583333333333,11.041666666666666,20.770833333333332
