fecha,cantidad
2020-04-24,180960
2020-04-25,76048
2020-04-26,56903
2020-04-27,178505
2020-04-28,177157
2020-04-29,199067
2020-04-30,192733
2020-05-01,65853
2020-05-02,90970
2020-05-03,62208
2020-05-04,195546
2020-05-05,198367
2020-05-06,203973
2020-05-07,212395
2020-05-08,217357
2020-05-09,103961
2020-05-10,70611
2020-05-11,213692
2020-05-12,218284
2020-05-13,221597
2020-05-14,228043
2020-05-15,229125
2020-05-16,112115
2020-05-17,75899
2020-05-18,216615
2020-05-19,203038
2020-05-20,202269
2020-05-21,196509
2020-05-22,213296
2020-05-23,100637
2020-05-24,52120
2020-05-25,70062
2020-05-26,195649
2020-05-27,199092
2020-05-28,208830
2020-05-29,180534
2020-05-30,85643
2020-05-31,57970
2020-06-01,189847
2020-06-02,194463
2020-06-03,203683
2020-06-04,208194
2020-06-05,212467
2020-06-06,96674
2020-06-07,65095
2020-06-08,198636
2020-06-09,208176
2020-06-10,215503
2020-06-11,217365
2020-06-12,229522
2020-06-13,107493
2020-06-14,59514
2020-06-15,82401
2020-06-16,219209
2020-06-17,218391
2020-06-18,217875
2020-06-19,225634
2020-06-20,98121
2020-06-21,69101
2020-06-22,204588
2020-06-23,209627
2020-06-24,221320
2020-06-25,233211
2020-06-26,237540
2020-06-27,109575
2020-06-28,71780
2020-06-29,217320
2020-06-30,223869
2020-07-01,163826
2020-07-02,180759
2020-07-03,193790
2020-07-04,89485
2020-07-05,61239
2020-07-06,193327
2020-07-07,205205
2020-07-08,218523
2020-07-09,84145
2020-07-10,92660
2020-07-11,93374
2020-07-12,66888
2020-07-13,203121
2020-07-14,204830
2020-07-15,211410
2020-07-16,211833
2020-07-17,226100
2020-07-18,110020
2020-07-19,76944
2020-07-20,213945
2020-07-21,217352
2020-07-22,226390
2020-07-23,226216
2020-07-24,236807
2020-07-25,120317
2020-07-26,79090
2020-07-27,220126
2020-07-28,230850
2020-07-29,233724
2020-07-30,240634
2020-07-31,250931
2020-08-01,128026
2020-08-02,82460
2020-08-03,229794
2020-08-04,235314
2020-08-05,244562
2020-08-06,241106
2020-08-07,244553
2020-08-08,124770
2020-08-09,81364
2020-08-10,234170
2020-08-11,243427
2020-08-12,247805
2020-08-13,254685
2020-08-14,268345
2020-08-15,142288
2020-08-16,83893
2020-08-17,106481
2020-08-18,249059
2020-08-19,248844
2020-08-20,256353
2020-08-21,267547
2020-08-22,139459
2020-08-23,94378
2020-08-24,244568
2020-08-25,245899
2020-08-26,249157
2020-08-27,263493
2020-08-28,274132
2020-08-29,138037
2020-08-30,102473
2020-08-31,248113
2020-09-01,254115
2020-09-02,242979
2020-09-03,262397
2020-09-04,284292
2020-09-05,156652
2020-09-06,108359
2020-09-07,249583
2020-09-08,257709
2020-09-09,263179
2020-09-10,275285
2020-09-11,288862
2020-09-12,161098
2020-09-13,116589
2020-09-14,255146
2020-09-15,265214
2020-09-16,272868
2020-09-17,281421
